시점,인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%]
2011.01 월,8171.1,6051.4,5835.1,216.3,2119.7,74.1,3.6,71.4
2011.02 월,8166.1,6075.5,5821.7,253.9,2090.6,74.4,4.2,71.3
2011.03 월,8161.4,6117.9,5867.6,250.3,2043.5,75,4.1,71.9
2011.04 월,8156.2,6137.4,5897.4,240,2018.8,75.2,3.9,72.3
2011.05 월,8152.4,6129.5,5935.8,193.7,2022.8,75.2,3.2,72.8
2011.06 월,8146.7,6156.2,5948.3,207.9,1990.5,75.6,3.4,73
2011.07 월,8142,6075.7,5888.7,187,2066.3,74.6,3.1,72.3
2011.08 월,8136.8,6021.8,5816.6,205.1,2115,74,3.4,71.5
2011.09 월,8130.7,6019.2,5834.3,184.9,2111.5,74,3.1,71.8
2011.10 월,8125.2,6075.3,5896.6,178.7,2049.9,74.8,2.9,72.6
2011.11 월,8120.5,6092.3,5916.3,176.1,2028.1,75,2.9,72.9
2011.12 월,8117.9,6063.2,5895.1,168.2,2054.7,74.7,2.8,72.6
2012.01 월,8111.6,5995.9,5824,172,2115.7,73.9,2.9,71.8
2012.02 월,8106.5,6014.5,5807.9,206.6,2092,74.2,3.4,71.6
2012.03 월,8101.1,6022.4,5816.4,206,2078.8,74.3,3.4,71.8
2012.04 월,8095.4,6071.6,5868.8,202.8,2023.8,75,3.3,72.5
2012.05 월,8090.9,6073.3,5884.5,188.8,2017.6,75.1,3.1,72.7
2012.06 월,8084.8,6107.8,5923.4,184.4,1977,75.5,3,73.3
2012.07 월,8077.7,6100.2,5923.1,177.1,1977.5,75.5,2.9,73.3
2012.08 월,8068.2,6062.5,5894.6,167.9,2005.8,75.1,2.8,73.1
2012.09 월,8058.5,6092.2,5927.8,164.3,1966.3,75.6,2.7,73.6
2012.10 월,8048.7,6109.7,5945.5,164.1,1939.1,75.9,2.7,73.9
2012.11 월,8040,6085.4,5916.6,168.8,1954.5,75.7,2.8,73.6
2012.12 월,8033.4,6028.9,5865.3,163.6,2004.4,75,2.7,73
2013.01 월,8023.1,5984.7,5787.3,197.4,2038.4,74.6,3.3,72.1
2013.02 월,8014.5,5983.2,5775.4,207.8,2031.3,74.7,3.5,72.1
2013.03 월,8004.7,5982.8,5791.5,191.3,2022,74.7,3.2,72.4
2013.04 월,7995.5,6059.9,5874.6,185.3,1935.6,75.8,3.1,73.5
2013.05 월,7986.5,6047.9,5863.6,184.3,1938.5,75.7,3,73.4
2013.06 월,7977.8,6043.5,5864.2,179.3,1934.3,75.8,3,73.5
2013.07 월,7967.7,6024.5,5841.8,182.7,1943.2,75.6,3,73.3
2013.08 월,7956.4,6031,5843.8,187.2,1925.4,75.8,3.1,73.4
2013.09 월,7945.2,6025.3,5875.3,150,1919.9,75.8,2.5,73.9
2013.10 월,7933.9,6007.4,5850.9,156.4,1926.5,75.7,2.6,73.7
2013.11 월,7922.9,6026,5868.3,157.7,1896.9,76.1,2.6,74.1
2013.12 월,7911.7,6008.9,5846.9,162,1902.8,75.9,2.7,73.9
2014.01 월,7900,5946.9,5793.3,153.6,1953.1,75.3,2.6,73.3
2014.02 월,7889,5978.9,5763.2,215.7,1910.1,75.8,3.6,73.1
2014.03 월,7877.6,5964.4,5762,202.4,1913.1,75.7,3.4,73.1
2014.04 월,7866.2,6026.4,5809.1,217.3,1839.7,76.6,3.6,73.8
2014.05 월,7855,6011.3,5814.8,196.6,1843.7,76.5,3.3,74
2014.06 월,7843.8,6029.8,5829.9,199.9,1814,76.9,3.3,74.3
2014.07 월,7832.2,6034.7,5843.2,191.5,1797.5,77,3.2,74.6
2014.08 월,7821.2,6008,5819.9,188,1813.2,76.8,3.1,74.4
2014.09 월,7809.7,5992.2,5821.6,170.6,1817.5,76.7,2.8,74.5
2014.10 월,7797.8,5984.8,5803.8,181.1,1813,76.7,3,74.4
2014.11 월,7786.6,5964.8,5807.2,157.6,1821.8,76.6,2.6,74.6
2014.12 월,7775.1,5948.7,5788,160.7,1826.4,76.5,2.7,74.4
2015.01 월,7763.7,5913.7,5745.3,168.4,1849.9,76.2,2.8,74
2015.02 월,7752.6,5942.5,5748.9,193.5,1810.1,76.7,3.3,74.2
